export,python_test_reference,r_test_reference
add_gazepoint_decision,True,True
align_gazepoint_biometrics_to_ttl,True,True
align_gazepoint_streams_by_events,True,True
align_gazepoint_to_eeg,True,True
analyze_gazepoint_ac_susceptance,True,True
analyze_gazepoint_cardiorespiratory_causality,True,True
analyze_gazepoint_skin_potential,True,True
anonymize_gazepoint_data,True,True
assert_gazepoint_columns,True,True
assess_gazepoint_hrp_waveform_quality,True,True
assess_gazepoint_sampling_irregularity,True,True
assign_gazepoint_aoi,True,True
audit_gazepoint_beats,True,True
audit_gazepoint_biometric_missingness,True,True
audit_gazepoint_biometric_sampling,True,True
audit_gazepoint_biometric_sync_drift,True,True
audit_gazepoint_biometrics_file,True,True
audit_gazepoint_condition_balance,True,True
audit_gazepoint_dataset_structure,True,True
audit_gazepoint_distributional_drift,True,True
audit_gazepoint_eda_artifacts,True,True
audit_gazepoint_engagement_dial,True,True
audit_gazepoint_event_coverage,True,True
audit_gazepoint_experiment_design,True,True
audit_gazepoint_export_schema,True,True
audit_gazepoint_gsr_quality,True,True
audit_gazepoint_gsr_units,True,True
audit_gazepoint_hr_quality,True,True
audit_gazepoint_ibi_quality,True,True
audit_gazepoint_interoperability_versions,True,True
audit_gazepoint_pipeline_steps,True,True
audit_gazepoint_preregistration_consistency,True,True
audit_gazepoint_pupil_luminance,True,True
audit_gazepoint_release_readiness,True,True
audit_gazepoint_session_comparability,True,True
audit_gazepoint_signal_activity,True,True
audit_gazepoint_smoke_privacy,True,True
audit_gazepoint_stabilization_period,True,True
audit_gazepoint_time_resets,True,True
audit_gazepoint_timecourse_grid,True,True
baseline_correct_gazepoint_gsr,True,True
baseline_correct_gazepoint_hr,True,True
baseline_correct_gazepoint_pupil,True,True
build_gazepoint_aoi_timecourse,True,True
calculate_gazepoint_rsa,True,True
check_gazepoint_bids,True,True
check_gazepoint_biometric_columns,True,True
check_gazepoint_plot_contract,True,True
check_gazepoint_ppg_binary_quality,True,True
check_gazepoint_pyhrv_interval,True,True
chunk_gazepoint_biometrics,True,True
classify_gazepoint_eda_response_pattern,True,True
classify_gazepoint_scr_intervals,True,True
classify_gazepoint_signal_quality,True,True
clean_gazepoint_pupil,True,True
clean_gazepoint_pupil_signal,True,True
clean_gazepoint_rr_intervals,True,True
combine_gazepoint_marker_channels_pspm_style,True,True
compare_gazepoint_conditions_bootstrap,True,True
compare_gazepoint_export_profiles,True,True
compare_gazepoint_hr_ibi_consistency,True,True
compare_gazepoint_pyhrv_psd_methods,True,True
compute_gazepoint_engagement_index,True,True
compute_gazepoint_hrv_wavelet_psd,True,True
compute_gazepoint_ppg_frequency_measures,True,True
compute_gazepoint_ppg_measures,True,True
compute_gazepoint_ppg_template_similarity,True,True
compute_gazepoint_pyhrv_ar_psd,True,True
compute_gazepoint_pyhrv_dfa,True,True
compute_gazepoint_pyhrv_frequency_domain,True,False
compute_gazepoint_pyhrv_heart_rate,True,True
compute_gazepoint_pyhrv_hr_parameters,True,False
compute_gazepoint_pyhrv_lomb_psd,True,True
compute_gazepoint_pyhrv_nn20,True,True
compute_gazepoint_pyhrv_nn50,True,True
compute_gazepoint_pyhrv_nn_diff,True,False
compute_gazepoint_pyhrv_nni_differences_parameters,True,False
compute_gazepoint_pyhrv_nni_parameters,True,False
compute_gazepoint_pyhrv_nnxx,True,False
compute_gazepoint_pyhrv_nonlinear,True,True
compute_gazepoint_pyhrv_poincare,True,True
compute_gazepoint_pyhrv_psd_waterfall,True,False
compute_gazepoint_pyhrv_rmssd,True,False
compute_gazepoint_pyhrv_sample_entropy,True,True
compute_gazepoint_pyhrv_sdann,True,False
compute_gazepoint_pyhrv_sdnn,True,False
compute_gazepoint_pyhrv_sdnn_index,True,False
compute_gazepoint_pyhrv_sdsd,True,False
compute_gazepoint_pyhrv_time_domain,True,True
compute_gazepoint_pyhrv_tinn,True,False
compute_gazepoint_pyhrv_triangular_index,True,False
compute_gazepoint_pyhrv_welch_psd,True,True
compute_gazepoint_quality_index,True,True
compute_gazepoint_scr_habituation,True,True
compute_gazepoint_scr_latency,True,True
compute_gazepoint_signal_band_power,True,True
compute_gazepoint_signal_correlation,True,True
compute_gazepoint_signal_lag_matrix,True,True
compute_gazepoint_signal_phase_locking,True,True
compute_gazepoint_signal_power_spectrum,True,True
compute_gazepoint_signal_quality,True,True
convert_gazepoint_gsr_to_conductance,True,True
correct_gazepoint_beats,True,True
correct_gazepoint_eda_temperature,True,True
correct_gazepoint_ppg_hampel,True,True
correct_gazepoint_rri_artifacts_local,True,True
create_gazepoint_analysis_decision_log,True,True
create_gazepoint_analysis_manifest,True,True
create_gazepoint_audit_index,True,True
create_gazepoint_audit_report_section,True,True
create_gazepoint_biometrics_checklist,True,True
create_gazepoint_biometrics_feature_inventory,True,True
create_gazepoint_biometrics_methods_text,True,True
create_gazepoint_biometrics_report,True,True
create_gazepoint_biometrics_report_tables,True,True
create_gazepoint_dictionary,True,True
create_gazepoint_eda_analysis_pipeline,True,True
create_gazepoint_eye_methods_text,True,True
create_gazepoint_heartpy_report,True,True
create_gazepoint_methods_section,True,True
create_gazepoint_pipeline_map,True,True
create_gazepoint_preregistration_checklist,True,True
create_gazepoint_preregistration_template,True,True
create_gazepoint_pspm_glm_design,True,True
create_gazepoint_pyhrv_time_vector,True,False
create_gazepoint_qc_supplement,True,True
create_gazepoint_quality_dashboard,True,True
create_gazepoint_release_checklist,True,True
create_gazepoint_reproducibility_statement,True,True
create_gazepoint_sidecar_template,True,True
create_gazepoint_trial_regressors,True,True
decompose_gazepoint_eda,True,True
denoise_gazepoint_eda_autoencoder,True,True
denoise_gazepoint_eda_wavelet,True,True
denoise_gazepoint_ppg_autoencoder,True,True
denoise_gazepoint_quantization_noise,True,True
detect_active_biometric_channels,True,True
detect_gazepoint_biometric_schema,True,True
detect_gazepoint_biometric_timebase,True,True
detect_gazepoint_blinks,True,True
detect_gazepoint_doubly_stochastic_changepoints,True,True
detect_gazepoint_fixations,True,True
detect_gazepoint_nonwear,True,True
detect_gazepoint_ppg_onsets,True,True
detect_gazepoint_ppg_peaks,True,True
detect_gazepoint_pupil_blinks,True,True
detect_gazepoint_saccades,True,True
detect_gazepoint_scr_events,True,True
detect_gazepoint_scr_peaks,True,True
detect_gazepoint_time_columns,True,True
detrend_gazepoint_rri_window,True,True
detrend_gazepoint_signal,True,True
diagnose_gazepoint_biometrics_workflow,True,True
diagnose_gazepoint_cluster_design,True,True
diagnose_gazepoint_sync_drift,True,True
downsample_gazepoint_data,True,True
enhance_gazepoint_ppg_peaks,True,True
epoch_gazepoint_scr,True,True
estimate_gazepoint_breathing_rate_from_ibi,True,True
estimate_gazepoint_cluster_offset,True,True
estimate_gazepoint_cluster_onset,True,True
estimate_gazepoint_eda_recovery_times,True,True
estimate_gazepoint_lsl_clock_offsets,True,True
estimate_gazepoint_respiration_from_ppg,True,True
estimate_gazepoint_samplerate_datetime,True,True
estimate_gazepoint_samplerate_mstimer,True,True
estimate_gazepoint_signal_lag,True,True
export_gazepoint_audit_trail_markdown,True,True
export_gazepoint_biometrics_report_bundle,True,True
export_gazepoint_cluster_results,True,True
export_gazepoint_heartpy_input,True,False
export_gazepoint_mne_cluster_input,True,True
export_gazepoint_permuco_cluster_input,True,True
