"participant_id","task_order","MEDIA_ID","MEDIA_NAME","interface_complexity","feedback_clarity","sampling_rate_hz","task_seconds","rows","synthetic_scenario"
"synthetic_kiosk_p001",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p001",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p001",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p001",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p002",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p002",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p002",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p002",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p003",1,1,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p003",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p003",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p003",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p004",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p004",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p004",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p004",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p005",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p005",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p005",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p005",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p006",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p006",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p006",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p006",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p007",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p007",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p007",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p007",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p008",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p008",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p008",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p008",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p009",1,1,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p009",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p009",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p009",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p010",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p010",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p010",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p010",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p011",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p011",2,2,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p011",3,3,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p011",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p012",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p012",2,2,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p012",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p012",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p013",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p013",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p013",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p013",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p014",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p014",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p014",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p014",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p015",1,1,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p015",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p015",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p015",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p016",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p016",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p016",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p016",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p017",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p017",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p017",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p017",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p018",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p018",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p018",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p018",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p019",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p019",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p019",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p019",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p020",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p020",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p020",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p020",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p021",1,1,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p021",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p021",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p021",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p022",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p022",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p022",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p022",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p023",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p023",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p023",3,3,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p023",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p024",1,1,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p024",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p024",3,3,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p024",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p025",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p025",2,2,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p025",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p025",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p026",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p026",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p026",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p026",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p027",1,1,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p027",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p027",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p027",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p028",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p028",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p028",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p028",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p029",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p029",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p029",3,3,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p029",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p030",1,1,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p030",2,2,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p030",3,3,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p030",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p031",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p031",2,2,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p031",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p031",4,4,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p032",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p032",2,2,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p032",3,3,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p032",4,4,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p033",1,1,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p033",2,2,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p033",3,3,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p033",4,4,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p034",1,1,"kiosk_dense_clear_task","dense","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p034",2,2,"kiosk_dense_ambiguous_task","dense","ambiguous",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p034",3,3,"kiosk_simple_clear_task","simple","clear",60,8,480,"public_service_kiosk_usability"
"synthetic_kiosk_p034",4,4,"kiosk_simple_ambiguous_task","simple","ambiguous",60,8,480,"public_service_kiosk_usability"
